Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_2018Q2,FE_Sector,Treat,After,DiD,Delete
AALI.JK,2020Q2,30.93283383,29.81276377,29.08814363,-6.153257685,0.093413644,0.110357465,1,0,0,8,0,1,0,0
AALI.JK,2019Q2,30.92075693,25.6131294,29.15165077,12.81282649,0.050227578,0.033592246,0,1,0,8,0,0,0,0
ABBA.JK,2020Q2,26.97390741,38.53573432,24.82142982,-17.9356426,-6.905750142,-18.01807798,1,0,0,2,1,1,1,0
ABBA.JK,2019Q2,26.78291692,67.5899529,25.01909622,-14.07237165,-3.575364787,-5.931062393,0,1,0,2,1,0,0,0
ABMM.JK,2020Q2,30.08662257,135.9484899,28.35504536,-18.77551513,0.34515499,0.683327751,1,0,0,6,0,1,0,0
ABMM.JK,2019Q2,30.29446106,274.804689,28.56299881,12.75992591,-0.02156834,-0.075400823,0,1,0,6,0,0,0,0
ACES.JK,2020Q2,29.3266326,1.399722223,28.26329637,19.57469753,3.576190336,5.148362188,1,0,0,2,1,1,1,0
ACES.JK,2019Q2,29.17242886,1.420567066,28.0845253,21.54219331,4.205699787,5.47606836,0,1,0,2,1,0,0,0
ADES.JK,2020Q2,27.48700408,30.04321843,25.97653353,1.012289062,2.542870175,3.666451759,1,0,0,8,0,1,0,0
ADES.JK,2019Q2,27.46973789,52.32984023,25.96646154,-3.787031577,1.992962245,3.548578428,0,1,0,8,0,0,0,0
ADHI.JK,2020Q2,31.0777195,164.6213044,28.76180005,5.346770191,-0.008797047,-0.059116764,1,0,0,7,1,1,1,0
ADHI.JK,2019Q2,30.90830251,109.4489623,28.70971275,0.179165936,0.456134476,2.194431129,0,1,0,7,1,0,0,0
ADMF.JK,2020Q2,31.1479259,339.880477,28.61194836,9.568456251,0.230515734,1.026339636,1,0,0,4,0,1,0,0
ADMF.JK,2019Q2,31.02398879,356.5756969,28.52056902,11.42739818,1.455344315,7.180789784,0,1,0,4,0,0,0,0
ADRO.JK,2020Q2,32.24711041,35.29860606,30.20504848,8.205786937,0.897641377,1.530234883,1,0,0,3,1,1,1,0
ADRO.JK,2019Q2,32.20760548,35.33045824,30.12618382,10.587916,2.67227577,4.730159084,0,1,0,3,1,0,0,0
AGII.JK,2020Q2,29.55687753,105.5603829,26.99646921,16.49951877,-0.030523205,-0.069695084,1,0,0,1,1,1,1,0
AGII.JK,2019Q2,29.51188107,88.81624941,26.84375225,4.506238188,0.214508061,0.450009466,0,1,0,1,1,0,0,0
AKPI.JK,2020Q2,28.70310001,90.01256706,27.027962,-3.895162852,0.68465805,1.47320278,1,0,0,1,1,1,1,0
AKPI.JK,2019Q2,28.7398528,93.52624938,27.06769253,15.73236712,-0.04410534,-0.106926411,0,1,0,1,1,0,0,0
AKRA.JK,2020Q2,30.57772497,58.28698363,29.17362673,-13.08261086,1.052883528,2.397564748,1,0,0,3,1,1,1,0
AKRA.JK,2019Q2,30.5887601,45.37165331,29.3138388,10.26521061,0.893692075,2.247507906,0,1,0,3,1,0,0,0
AKSI.JK,2020Q2,26.31935536,97.01741012,25.18716671,-3.05685226,-5.763673747,-14.38769544,1,0,0,11,1,1,1,0
AKSI.JK,2019Q2,25.64509402,0.262216325,25.2182122,5283.50284,3.199225889,7.627217413,0,1,0,11,1,0,0,0
ALDO.JK,2020Q2,27.56168818,59.46810975,26.29363938,1.789307302,1.529189215,2.378251671,1,0,0,1,1,1,1,0
ALDO.JK,2019Q2,27.00618126,67.38082824,26.2759045,54.4367148,1.590222368,3.112086379,0,1,0,1,1,0,0,0
ALMI.JK,2020Q2,28.65407128,440.0277637,27.67646631,11.73413916,-8.430587605,-191.7322155,1,0,0,1,1,1,1,0
ALMI.JK,2019Q2,28.49655811,239.0855282,27.5655142,31.529354,-0.335920815,-3.10742452,0,1,0,1,1,0,0,0
ALTO.JK,2020Q2,27.72541504,92.07870713,24.98092331,16.88002646,-0.30683951,-0.895928296,1,0,0,8,0,1,0,0
ALTO.JK,2019Q2,27.73225525,136.6110395,24.8249455,-2.664823802,-0.017098446,-0.045814389,0,1,0,8,0,0,0,0
AMFG.JK,2020Q2,29.81095756,114.9502224,27.60603659,0.30008011,2.267613283,6.619369901,1,0,0,6,0,1,0,0
AMFG.JK,2019Q2,29.64506737,67.27823275,27.60304028,12.32077492,-0.50510519,-1.249748534,0,1,0,6,0,0,0,0
AMIN.JK,2020Q2,26.72646639,59.04356926,25.31595082,34.38233334,-0.318273226,-0.631515626,1,0,0,6,0,1,0,0
AMIN.JK,2019Q2,26.61188398,62.29948857,25.02043204,7.555038146,1.502345935,2.983692067,0,1,0,6,0,0,0,0
AMRT.JK,2020Q2,30.7456562,74.95085338,30.59842583,7.185410424,0.565764741,2.079482329,1,0,0,8,0,1,0,0
