Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q2,FE_2019Q2,FE_Sector,Treat,After,DiD,Delete
AALI.JK,2020Q3,30.95067187,31.76232785,28.98169607,-18.56732774,0.75726036,1.008907292,1,0,1,0,1,0,0
AALI.JK,2019Q3,30.9385818,24.71966307,29.18708969,20.10560346,0.277057124,0.363906154,0,1,1,0,0,0,0
ABBA.JK,2020Q3,27.00714061,39.7347773,24.53501904,23.51367777,-2.596429131,-9.269700779,1,0,2,1,1,1,0
ABBA.JK,2019Q3,26.81533672,60.1897689,24.32383733,-46.40129022,-0.966313355,-1.584840719,0,1,2,1,0,0,0
ABMM.JK,2020Q3,30.05197693,136.1784196,28.32405981,-27.38277743,-0.847076575,-2.024256304,1,0,3,0,1,0,0
ABMM.JK,2019Q3,30.32707924,261.5376937,28.64402787,28.14228685,0.58636941,2.054259973,0,1,3,0,0,0,0
ACES.JK,2020Q3,29.28015226,2.168942652,28.36331722,14.8501581,1.560455779,2.319959823,1,0,2,1,1,1,0
ACES.JK,2019Q3,29.14253587,1.459131603,28.2248591,23.61322016,4.440067073,5.448211938,0,1,2,1,0,0,0
ACST.JK,2020Q3,29.94645491,549.2263327,28.05249736,41.8053125,-12.62101374,-105.763111,1,0,4,1,1,1,0
ACST.JK,2019Q3,29.69194679,183.9868887,27.70321247,16.51862371,-3.321101579,-43.96922888,0,1,4,1,0,0,0
ADES.JK,2020Q3,27.4876864,25.15901819,26.07941806,4.237725844,2.248704831,3.126127812,1,0,1,0,1,0,0
ADES.JK,2019Q3,27.48340703,47.89417575,26.03791413,-2.518401304,1.523491099,2.608307209,0,1,1,0,0,0,0
ADMF.JK,2020Q3,31.13505254,307.5256601,28.64013384,8.25865267,0.676942955,2.860587146,1,0,0,0,1,0,0
ADMF.JK,2019Q3,31.05661526,335.810297,28.56078073,9.873765931,1.402570751,6.512182498,0,1,0,0,0,0,0
ADRO.JK,2020Q3,32.26335936,33.64890752,30.154479,-20.78218646,-0.699231649,-1.243967449,1,0,5,1,1,1,0
ADRO.JK,2019Q3,32.29969159,36.71817668,30.387448,31.37721893,1.616218383,2.862807594,0,1,5,1,0,0,0
AGII.JK,2020Q3,29.56599035,103.8645842,27.0604101,8.954562104,0.197085849,0.39388719,1,0,0,1,1,1,0
AGII.JK,2019Q3,29.55684838,95.97667505,26.97464935,11.6717939,0.440164288,0.939248005,0,1,0,1,0,0,0
AGRO.JK,2020Q3,30.8468589,11.24090852,26.00645713,0.143479432,0.019943918,#VALUE!,1,0,0,0,1,0,0
AGRO.JK,2019Q3,30.671049,11.39692811,26.00502336,34.96094224,-0.253328633,#VALUE!,0,1,0,0,0,0,0
AKKU.JK,2020Q3,27.70256527,32.13699657,20.5128374,4.659440484,-0.998285331,-1.60265438,1,0,2,1,1,1,0
AKKU.JK,2019Q3,27.74937545,32.01236887,20.46729594,-89.29661628,-0.181696625,-0.26026444,0,1,2,1,0,0,0
AKPI.JK,2020Q3,28.66088154,74.01904775,27.07359731,-7.085418259,0.141018006,0.293704137,1,0,0,1,1,1,0
AKPI.JK,2019Q3,28.73534563,92.68515689,27.1470869,20.61855858,-0.007063324,-0.016521865,0,1,0,1,0,0,0
AKRA.JK,2020Q3,30.5918448,60.61073744,29.31828888,-3.73270227,1.264056949,2.754726979,1,0,5,1,1,1,0
AKRA.JK,2019Q3,30.65534222,57.58383583,29.35633039,33.40819222,0.824876006,2.0753315,0,1,5,1,0,0,0
AKSI.JK,2020Q3,26.33560573,95.76833953,25.20409631,39.57903916,-1.642973512,-4.068433907,1,0,6,1,1,1,0
AKSI.JK,2019Q3,25.79201038,35.32774761,24.87063546,-34.67414111,-0.804025288,-1.861534318,0,1,6,1,0,0,0
ALDO.JK,2020Q3,27.55716779,50.29228843,26.33081922,-14.48953128,2.183600413,3.647164303,1,0,0,1,1,1,0
ALDO.JK,2019Q3,26.94516509,65.93658613,26.4873506,77.32858644,2.608214908,4.944118128,0,1,0,1,0,0,0
ALTO.JK,2020Q3,27.73139421,93.82104051,25.01931562,6.062232968,-0.697130137,-2.057147923,1,0,1,0,1,0,0
ALTO.JK,2019Q3,27.72413912,148.5442795,24.96045978,7.240433617,-0.542801193,-1.557235548,0,1,1,0,0,0,0
AMFG.JK,2020Q3,29.79806377,119.2185291,27.78899363,-3.492814292,-3.199646111,-9.123195946,1,0,3,0,1,0,0
AMFG.JK,2019Q3,29.73394087,84.63894785,27.82454634,13.48966312,-0.577705352,-1.455182528,0,1,3,0,0,0,0
AMIN.JK,2020Q3,26.76848851,57.54134915,24.57500504,-13.36515538,-1.249990781,-2.583930775,1,0,3,0,1,0,0
AMIN.JK,2019Q3,26.65946706,62.09873876,24.71847313,2.489538578,1.352383762,2.662065632,0,1,3,0,0,0,0
AMRT.JK,2020Q3,30.77755001,70.75261205,30.51882614,6.922077106,0.621610939,2.160855124,1,0,1,0,1,0,0
AMRT.JK,2019Q3,30.6920707,111.1626359,30.45189601,11.30177835,1.120195249,3.986362365,0,1,1,0,0,0,0
ANJT.JK,2020Q3,29.81952792,50.31083096,26.89807551,-21.26047694,1.119483213,1.80921454,1,0,1,0,1,0,0
ANJT.JK,2019Q3,29.81482446,40.77603488,27.13710046,9.618787823,1.073333367,1.763209553,0,1,1,0,0,0,0
ANTM.JK,2020Q3,31.11701538,49.4225845,29.94662848,24.52460588,2.461842474,4.055665334,1,0,0,1,1,1,0
ANTM.JK,2019Q3,31.12286222,54.96434654,29.72729534,105.919812,0.644822547,1.075088983,0,1,0,1,0,0,0
APIC.JK,2020Q3,28.86183509,30.08398782,25.85465951,323.0947094,0.274526224,0.522110558,1,0,0,0,1,0,0
APIC.JK,2019Q3,28.58867098,26.48964725,24.41223364,-50.42066189,1.3862453,2.49949449,0,1,0,0,0,0,0
APII.JK,2020Q3,26.86009256,40.92656435,24.84876533,-2.972247075,1.54014431,2.463999646,1,0,3,0,1,0,0
APII.JK,2019Q3,26.82087627,47.56315815,24.87893847,70.17743235,1.98608464,3.117017214,0,1,3,0,0,0,0
APLI.JK,2020Q3,26.80563485,74.20386316,25.33332119,16.60494631,-0.556684549,-1.065308614,1,0,0,1,1,1,0
