Firm,Period,SIZE,LEV,REV,GROWTH,ROA,ROE,FE_2020Q4,FE_2019Q4,FE_Sector,Treat,After,DiD,Delete
AALI.JK,2020Q4,30.92589915,30.69714936,29.25362438,-4.818837306,0.984692569,1.329934425,1,0,1,0,1,0,0
AALI.JK,2019Q4,30.92154638,24.9151945,29.30301252,10.5939413,0.418487451,0.539100861,0,1,1,0,0,0,0
ABMM.JK,2020Q4,30.05268265,132.4412639,28.4315954,-26.98532405,-0.366894966,-0.766753645,1,0,4,1,1,1,0
ABMM.JK,2019Q4,30.36691597,233.7083219,28.74610512,32.74068423,0.623254336,2.275024408,0,1,4,1,0,0,0
ACES.JK,2020Q4,29.33349979,1.923102268,28.33038668,13.15021245,2.419437126,3.448105871,1,0,2,0,1,0,0
ACES.JK,2019Q4,29.21488814,2.174827011,28.20684062,21.57841656,4.658706741,5.730452995,0,1,2,0,0,0,0
ACST.JK,2020Q4,29.97728993,1796.197087,27.50053195,-11.48670182,-17.13901186,-91.40618734,1,0,5,1,1,1,0
ACST.JK,2019Q4,29.82115293,226.4867912,27.62254933,-8.348484358,-3.715348612,-90.80678351,0,1,5,1,0,0,0
ADES.JK,2020Q4,27.50560527,20.568898,26.08421052,4.394936312,4.034285928,5.51312611,1,0,1,0,1,0,0
ADES.JK,2019Q4,27.49888076,41.95530008,26.04119954,-1.844134094,1.867443214,3.135686074,0,1,1,0,0,0,0
ADHI.JK,2020Q4,31.22876707,154.5056942,29.48203463,2.295096127,0.02153309,0.15466863,1,0,5,1,1,1,0
ADHI.JK,2019Q4,31.03526721,136.3212327,29.45934308,-3.382308146,0.905352801,4.698059743,0,1,5,1,0,0,0
ADMF.JK,2020Q4,31.18970227,283.2813309,28.74731909,16.94572904,0.688153553,2.711996979,1,0,3,0,1,0,0
ADMF.JK,2019Q4,31.08089567,312.5693937,28.5907793,11.57882457,2.019677098,8.902370784,0,1,3,0,0,0,0
ADRO.JK,2020Q4,32.23792397,52.21078843,30.04209566,-18.62631616,0.588771467,1.020388059,1,0,7,1,1,1,0
ADRO.JK,2019Q4,32.25106369,38.84208274,30.24821392,23.22824797,-0.035328932,-0.047615468,0,1,7,1,0,0,0
AGII.JK,2020Q4,29.57992393,99.44332804,27.09644227,-3.916693998,0.950742665,2.031014964,1,0,6,1,1,1,0
AGII.JK,2019Q4,29.52530032,99.10383177,27.13639687,20.39153903,0.392906006,0.860600978,0,1,6,1,0,0,0
AGRO.JK,2020Q4,30.92937049,11.13771312,26.08272927,6.318146408,0.020946815,#VALUE!,1,0,3,0,1,0,0
