Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
AALI.JK,2020Q2,AALI.JK2020Q2,Food Producers,0.093413644,0,2.73813E+13,8.51301E+12,51.75251393,-0.201556414,3.73,2.25,0,1
ABBA.JK,2020Q2,ABBA.JK2020Q2,Industrial Support Services,-6.905750142,-18,4.185E+11,3.30646E+11,810.480002,-22.04551823,0.82,0.78,1,1
ABMM.JK,2020Q2,ABMM.JK2020Q2,"Oil, Gas and Coal",0.34515499,1,1.45051E+13,1.02768E+13,66.17555856,27.81291333,1.23,1.03,0,1
ACES.JK,2020Q2,ACES.JK2020Q2,Retailers,3.576190336,5,6.98949E+12,1.98004E+12,14.05191425,4.520688978,6.53,2.53,1,1
ACST.JK,2020Q2,ACST.JK2020Q2,Construction and Materials,-2.929108095,-316,4.1654E+12,4.18915E+12,-107.4615855,-63.34473001,0.8,0.73,0,1
ADES.JK,2020Q2,ADES.JK2020Q2,Beverages,2.248704831,3,8.18093E+11,2.56827E+11,-12.19164195,-42.94929875,2.71,2.19,0,1
ADHI.JK,2020Q2,ADHI.JK2020Q2,Construction and Materials,-0.008797047,0,3.76396E+13,3.21446E+13,-47.16651853,-20.57056362,1.14,0.89,0,1
ADMF.JK,2020Q2,ADMF.JK2020Q2,Finance and Credit Services,0.230515734,1,3.19602E+13,2.44394E+13,-50.38166175,-11.4142939,0.31,0.31,0,1
ADMG.JK,2020Q2,ADMG.JK2020Q2,Chemicals,-2.798914809,-3,3.27259E+12,6.52338E+11,67.37171148,-47.5567547,3.78,1.7,0,1
ADRO.JK,2020Q2,ADRO.JK2020Q2,"Oil, Gas and Coal",0.897641377,2,9.4212E+13,5.19542E+13,-26.65277378,-33.7984618,1.9,1.78,0,1
AGII.JK,2020Q2,AGII.JK2020Q2,Chemicals,-0.030523205,0,7.12133E+12,3.92907E+12,-8.710382876,-8.37273871,1.01,0.75,0,1
AKKU.JK,2020Q2,AKKU.JK2020Q2,General Industrials,-0.998285331,-2,9.34595E+11,3.56535E+11,267.7909352,35.62527825,0.79,0.15,1,1
AKPI.JK,2020Q2,AKPI.JK2020Q2,Chemicals,0.68465805,1,2.74555E+12,1.71674E+12,-55.18754984,3.306275122,1.08,0.66,0,1
AKRA.JK,2020Q2,AKRA.JK2020Q2,"Oil, Gas and Coal",1.052883528,2,1.85536E+13,1.00898E+13,24.42791557,-21.83391936,1.43,0.84,0,1
AKSI.JK,2020Q2,AKSI.JK2020Q2,Investment Banking and Brokerage Services,-1.642973512,-4,2.3322E+11,1.47025E+11,-188.257938,53.71092449,1.55,1.55,1,1
ALDO.JK,2020Q2,ALDO.JK2020Q2,Household Goods and Home Construction,1.529189215,2,9.35485E+11,5.14192E+11,-60.52821432,-20.67839612,1.78,0.94,0,1
ALKA.JK,2020Q2,ALKA.JK2020Q2,Industrial Metals and Mining,0.674933516,4,5.31668E+11,5.70264E+11,199.3815733,30.87368512,1.25,1.23,1,1
ALTO.JK,2020Q2,ALTO.JK2020Q2,Food Producers,-0.697130137,-2,1.09369E+12,7.3266E+11,-92.35332217,-18.02085495,0.8,0.26,0,1
AMFG.JK,2020Q2,AMFG.JK2020Q2,General Industrials,2.267613283,7,8.42577E+12,5.37508E+12,847.7834586,-40.44631277,0.88,0.3,1,1
AMIN.JK,2020Q2,AMIN.JK2020Q2,Household Goods and Home Construction,-1.249990781,-3,4.36296E+11,2.3169E+11,-116.6519501,-38.88447903,1.61,0.8,0,1
AMRT.JK,2020Q2,AMRT.JK2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2,2.33787E+13,2.30794E+13,42.16673773,-3.553396726,0.86,0.25,0,1
ANJT.JK,2020Q2,ANJT.JK2020Q2,Food Producers,-0.702139732,-1,8.77368E+12,3.3374E+12,-63.98803788,17.45545044,2.1,1.7,0,1
ANTM.JK,2020Q2,ANTM.JK2020Q2,Industrial Metals and Mining,1.206031969,2,3.00332E+13,1.2746E+13,-51.4712876,-50.97444463,1.6,1.07,1,1
APIC.JK,2020Q2,APIC.JK2020Q2,Investment Banking and Brokerage Services,0.274526224,1,4.54551E+12,2.32161E+12,180.9876042,109.4911109,1.75,1.75,1,1
APII.JK,2020Q2,APII.JK2020Q2,Electronic and Electrical Equipment,1.261048592,2,5.06049E+11,1.90774E+11,3.230212951,2.456446169,1.61,0.52,1,1
APLI.JK,2020Q2,APLI.JK2020Q2,General Industrials,-0.556684549,-1,3.83617E+11,1.72153E+11,-104.4118272,-45.3771226,1.78,0.73,1,1
APLN.JK,2020Q2,APLN.JK2020Q2,Real Estate Investment and Services Development,1.430652817,5,3.06316E+13,2.30473E+13,-38.53987841,-66.74782471,1.29,0.43,1,1
ARII.JK,2020Q2,ARII.JK2020Q2,"Oil, Gas and Coal",0.335359463,4,5.14103E+12,5.05411E+12,-111.6258336,-54.34598094,0.16,0.15,0,1
ARNA.JK,2020Q2,ARNA.JK2020Q2,Construction and Materials,3.182686535,5,1.7152E+12,6.17841E+11,12.09553558,-15.1328793,1.77,1.51,0,1
ARTA.JK,2020Q2,ARTA.JK2020Q2,Investment Banking and Brokerage Services,-3.020317246,-3,4.05415E+11,2.29656E+11,-6355.091054,-92.57202809,13.02,12.91,1,1
ARTI.JK,2020Q2,ARTI.JK2020Q2,Household Goods and Home Construction,-20.76414572,0,1.48427E+12,4.54352E+11,-449.422856,-69.63888013,7.87,7.71,0,1
ASGR.JK,2020Q2,ASGR.JK2020Q2,Technology Hardware & Equipment,0.705196461,1,2.5969E+12,1.0189E+12,-51.03746457,-10.2621053,2.24,1.36,0,1
ASII.JK,2020Q2,ASII.JK2020Q2,Automobiles and Parts,2.097368577,4,3.43674E+14,1.90915E+14,-64.46648427,-36.73353955,1.49,1.24,1,1
