Firm,Period,code,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,current_rat,quick_rat,Treated,After
AALI.JK,2019Q2,AALI.JK2019Q2,Food Producers,0.050227578,0.033592246,2.72E+13,8.64E+12,-81.82974339,-6.153257685,1.29,0.64,1,1
ABBA.JK,2019Q2,ABBA.JK2019Q2,Industrial Support Services,-3.575364787,-5.931062393,5.18E+11,3.43E+11,-32.42327874,-17.9356426,0.67,0.63,0,1
ABMM.JK,2019Q2,ABMM.JK2019Q2,"Oil, Gas and Coal",-0.02156834,-0.075400823,1.17E+13,7.88E+12,-52.2875909,-18.77551513,1.62,1.41,1,1
ACES.JK,2019Q2,ACES.JK2019Q2,Retailers,4.205699787,5.47606836,5.45E+12,1.68E+12,8.990449694,19.57469753,8.29,1.9,0,1
ACST.JK,2019Q2,ACST.JK2019Q2,Construction and Materials,-3.060276303,-27.91801518,1.08E+13,9.79E+12,-231.4676356,-20.04615493,1.04,0.88,1,1
ADES.JK,2019Q2,ADES.JK2019Q2,Beverages,1.523491099,2.608307209,8.66E+11,3.67E+11,11.65003773,4.237725844,1.45,1.03,1,1
ADHI.JK,2019Q2,ADHI.JK2019Q2,Construction and Materials,0.456134476,2.194431129,3.14E+13,2.50E+13,6.01188268,5.346770191,1.35,1.09,1,1
ADMF.JK,2019Q2,ADMF.JK2019Q2,Finance and Credit Services,1.455344315,7.180789784,3.37E+13,2.67E+13,96.41724858,9.568456251,0.22,0.22,1,1
ADMG.JK,2019Q2,ADMG.JK2019Q2,Chemicals,-2.601095521,-3.019355332,3.77E+12,6.24E+11,-276.8970606,-48.56344697,5.64,2.64,1,1
ADRO.JK,2019Q2,ADRO.JK2019Q2,"Oil, Gas and Coal",2.67227577,4.730159084,1.01E+14,4.66E+13,22.81483052,8.205786937,1.48,1.38,1,1
AGII.JK,2019Q2,AGII.JK2019Q2,Chemicals,0.214508061,0.450009466,6.86E+12,3.76E+12,8.313892976,16.49951877,1.29,0.94,1,1
AKKU.JK,2019Q2,AKKU.JK2019Q2,General Industrials,-0.181696625,-0.26026444,1.07E+12,3.25E+11,24.16731494,4.659440484,2.6,0.4,0,1
AKPI.JK,2019Q2,AKPI.JK2019Q2,Chemicals,-0.04410534,-0.106926411,2.92E+12,1.79E+12,8.308950579,-3.895162852,1.05,0.62,1,1
AKRA.JK,2019Q2,AKRA.JK2019Q2,"Oil, Gas and Coal",0.893692075,2.247507906,1.90E+13,1.08E+13,-3.57662652,-13.08261086,1.36,0.75,1,1
AKSI.JK,2019Q2,AKSI.JK2019Q2,Investment Banking and Brokerage Services,-0.804025288,-1.861534318,2.74E+11,1.51E+11,-15.15840995,39.57903916,1,1,0,1
ALDO.JK,2019Q2,ALDO.JK2019Q2,Household Goods and Home Construction,1.590222368,3.112086379,9.33E+11,5.36E+11,61.87345001,1.789307302,1.68,0.95,1,1
ALKA.JK,2019Q2,ALKA.JK2019Q2,Industrial Metals and Mining,1.228503812,4.555248146,4.09E+11,3.91E+11,-80.09566261,-68.11035397,1.27,1.2,0,1
ALTO.JK,2019Q2,ALTO.JK2019Q2,Food Producers,-0.542801193,-1.557235548,1.11E+12,7.14E+11,-22.17466043,6.062232968,0.73,0.24,1,1
AMFG.JK,2019Q2,AMFG.JK2019Q2,General Industrials,-0.50510519,-1.249748534,8.85E+12,5.32E+12,-76.26085218,0.30008011,1.2,0.49,0,1
AMIN.JK,2019Q2,AMIN.JK2019Q2,Household Goods and Home Construction,1.352383762,2.662065632,4.22E+11,2.09E+11,-25.85183415,-13.36515538,1.72,1.06,1,1
AMRT.JK,2019Q2,AMRT.JK2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,3.256828614,2.25E+13,1.71E+13,19.2310599,7.185410424,1.06,0.44,1,1
ANJT.JK,2019Q2,ANJT.JK2019Q2,Food Producers,-1.101873068,-1.760055106,8.62E+12,3.31E+12,-235.0263619,-22.14157228,1.4,1.19,1,1
ANTM.JK,2019Q2,ANTM.JK2019Q2,Industrial Metals and Mining,0.750074548,1.269609282,3.36E+13,1.37E+13,-40.80135967,34.88648278,1.39,1.01,0,1
APIC.JK,2019Q2,APIC.JK2019Q2,Investment Banking and Brokerage Services,1.3862453,2.49949449,3.42E+12,1.29E+12,-68.99437475,323.0947094,1.21,1.21,0,1
