Stocks;Period;ROA;REV;TA;DER;IDX_IC;DiD_Period;DiD_Treatment;Ln_REV;Ln_Assets;ROA_perc;DER_perc
AALI;2019Q2;0.0004887198;4293587000000;27161831000000;0.2981276377;IDXNONCYC;0;0;29.0881436300;30.9328338317;0.0488719820;29.8127637720
AALI;2020Q2;-0.0037859336;4284933000000;27381270000000;0.3020573594;IDXNONCYC;1;0;29.0861260319;30.9408803189;-0.3785933636;30.2057359380
ABBA;2019Q2;0.0020451382;60229603540;518345276090;0.3853573432;IDXCYCLIC;0;1;24.8214298215;26.9739074133;0.2045138166;38.5357343220
ABBA;2020Q2;0.0074770779;46951675310;418500278530;0.5981651697;IDXCYCLIC;1;1;24.5723847248;26.7599433924;0.7477077876;59.8165169705
ABMM;2019Q2;0.0087310753;2062717408050;11653440472050;1.3594848994;IDXINDUST;0;1;28.3550453596;30.0866225718;0.8731075310;135.9484899440
ABMM;2020Q2;-0.0113414751;2636419213000;14505051335000;1.6144444329;IDXINDUST;1;1;28.6004427537;30.3055180726;-1.1341475110;161.4444432920
ADRO;2019Q2;0.0315553129;13118551375000;101097893625000;0.3529860606;IDXENERGY;0;1;30.2050484799;32.2471104072;3.1555312920;35.2986060590
ADRO;2020Q2;0.0021767891;8684682800000;94212033440000;0.4529137384;IDXENERGY;1;1;29.7925819922;32.1765690329;0.2176789120;45.2913738370
AGII;2019Q2;-0.0057039084;530173000000;6861022000000;1.0556038294;IDXBASIC;0;0;26.9964692053;29.5568775262;-0.5703908420;105.5603829440
AGII;2020Q2;0.0198876232;485783000000;7121333000000;1.0425698482;IDXBASIC;1;0;26.9090278591;29.5941160429;1.9887623182;104.2569848160
AGRO;2019Q2;-0.0066649496;188121480000;24818173291000;0.1109874396;IDXFINANCE;0;1;25.9603537613;30.8425972947;-0.6664949640;11.0987439640
AGRO;2020Q2;-0.0002628819;143254094000;26183539077000;0.1193842406;IDXFINANCE;1;1;25.6878857715;30.8961520497;-0.0262881938;11.9384240599
AKKU;2019Q2;0.0216356967;94782966490;1074466192090;0.3232316746;IDXCYCLIC;0;1;25.2748555517;27.7028450887;2.1635696720;32.3231674590
AKKU;2020Q2;-0.0160998466;18863251140;936699355700;0.1205876957;IDXCYCLIC;1;1;23.6604814821;27.5656282093;-1.6099846588;12.0587695670
AKPI;2019Q2;-0.0062907337;547135321000;2921446561000;0.9001256706;IDXBASIC;0;0;27.0279619963;28.7031000071;-0.6290733670;90.0125670590
