Firm,Period,ROA_in_percent,Treated,After_YoY,ICB Sector
AALI.JK,2020Q2,0.093413644,0,1,Food Producers
ABBA.JK,2020Q2,-6.905750142,1,1,Industrial Support Services
ABDA.JK,2020Q2,0.809076349,1,1,Non-life Insurance
ABMM.JK,2020Q2,0.34515499,0,1,"Oil, Gas and Coal"
ACES.JK,2020Q2,3.576190336,1,1,Retailers
ACST.JK,2020Q2,-2.929108095,0,1,Construction and Materials
ADES.JK,2020Q2,2.248704831,0,1,Beverages
ADHI.JK,2020Q2,-0.008797047,0,1,Construction and Materials
ADMF.JK,2020Q2,0.230515734,0,1,Finance and Credit Services
ADMG.JK,2020Q2,-2.798914809,0,1,Chemicals
ADRO.JK,2020Q2,0.897641377,0,1,"Oil, Gas and Coal"
AGAR.JK,2020Q2,0.002808499,0,1,Food Producers
AGII.JK,2020Q2,-0.030523205,0,1,Chemicals
AGRO.JK,2020Q2,0.012504502,0,1,Banks
AGRS.JK,2020Q2,1.790873633,0,1,Banks
AHAP.JK,2020Q2,0.747857972,1,1,Non-life Insurance
AIMS.JK,2020Q2,-0.492555701,0,1,Pharmaceuticals and Biotechnology
AISA.JK,2020Q2,-1.741529045,0,1,Food Producers
AKKU.JK,2020Q2,-0.998285331,0,1,General Industrials
AKPI.JK,2020Q2,0.68465805,0,1,Chemicals
AKRA.JK,2020Q2,1.052883528,0,1,"Oil, Gas and Coal"
AKSI.JK,2020Q2,-1.642973512,0,1,Investment Banking and Brokerage Services
ALDO.JK,2020Q2,1.529189215,0,1,Household Goods and Home Construction
ALKA.JK,2020Q2,0.674933516,1,1,Industrial Metals and Mining
ALMI.JK,2020Q2,3.128312313,1,1,Industrial Metals and Mining
ALTO.JK,2020Q2,-0.697130137,0,1,Food Producers
AMAG.JK,2020Q2,0.350009557,1,1,Non-life Insurance
AMAN.JK,2020Q2,-0.078260296,0,1,Real Estate Investment and Services Development
AMAR.JK,2020Q2,0.026310633,0,1,Banks
AMFG.JK,2020Q2,2.267613283,0,1,General Industrials
AMIN.JK,2020Q2,-1.249990781,0,1,Household Goods and Home Construction
AMOR.JK,2020Q2,2.998318547,0,1,Investment Banking and Brokerage Services
AMRT.JK,2020Q2,0.565764741,0,1,"Personal Care, Drug and Grocery Stores"
ANDI.JK,2020Q2,0.570079885,0,1,Food Producers
ANJT.JK,2020Q2,-0.702139732,0,1,Food Producers
ANTM.JK,2020Q2,1.206031969,1,1,Industrial Metals and Mining
APEX.JK,2020Q2,-0.626423189,0,1,"Oil, Gas and Coal"
APIC.JK,2020Q2,0.274526224,0,1,Investment Banking and Brokerage Services
APII.JK,2020Q2,1.261048592,1,1,Electronic and Electrical Equipment
APLI.JK,2020Q2,-0.556684549,0,1,General Industrials
APLN.JK,2020Q2,1.430652817,0,1,Real Estate Investment and Services Development
ARGO.JK,2020Q2,-6.74762752,1,1,Personal Goods
ARII.JK,2020Q2,0.335359463,0,1,"Oil, Gas and Coal"
ARKA.JK,2020Q2,-2.039993267,1,1,Industrial Engineering
ARMY.JK,2020Q2,0.272894786,0,1,Real Estate Investment and Services Development
ARNA.JK,2020Q2,3.182686535,0,1,Construction and Materials
ARTA.JK,2020Q2,-3.020317246,0,1,Investment Banking and Brokerage Services
ARTI.JK,2020Q2,-20.76414572,0,1,Household Goods and Home Construction
ARTO.JK,2020Q2,-1.749547357,0,1,Banks
ASBI.JK,2020Q2,0.268727881,1,1,Non-life Insurance
ASDM.JK,2020Q2,0.430922983,1,1,Non-life Insurance
ASGR.JK,2020Q2,0.705196461,0,1,Technology Hardware & Equipment
ASII.JK,2020Q2,2.097368577,1,1,Automobiles and Parts
ASJT.JK,2020Q2,-0.728413315,1,1,Non-life Insurance
ASMI.JK,2020Q2,1.151775219,1,1,Non-life Insurance
ASPI.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
ASRI.JK,2020Q2,3.871606489,0,1,Real Estate Investment and Services Development
ASRM.JK,2020Q2,0.74046923,1,1,Non-life Insurance
ASSA.JK,2020Q2,-0.165937697,1,1,Consumer Services
ATAP.JK,2020Q2,0,0,1,Real Estate Investment and Services Development
ATIC.JK,2020Q2,-0.142794161,1,1,Software & Computer Services
AUTO.JK,2020Q2,-2.795635407,1,1,Automobiles and Parts
AYLS.JK,2020Q2,0,0,1,Construction and Materials
BABP.JK,2020Q2,0.011619009,0,1,Banks
BACA.JK,2020Q2,0.113439852,0,1,Banks
BAJA.JK,2020Q2,11.38741992,1,1,Industrial Metals and Mining
BALI.JK,2020Q2,0.514035532,0,1,Telecommunications Service Providers
BAPA.JK,2020Q2,-0.09973312,0,1,Real Estate Investment and Services Development
BAPI.JK,2020Q2,-0.181936748,0,1,Real Estate Investment and Services Development
BATA.JK,2020Q2,-0.878800031,1,1,Personal Goods
BAYU.JK,2020Q2,-1.300081118,1,1,Travel and Leisure
BBCA.JK,2020Q2,0.581320069,0,1,Banks
BBHI.JK,2020Q2,1.430720295,0,1,Banks
BBKP.JK,2020Q2,0.000549957,0,1,Banks
BBLD.JK,2020Q2,-0.0558596,0,1,Finance and Credit Services
BBMD.JK,2020Q2,0,0,1,Banks
BBNI.JK,2020Q2,0.027189501,0,1,Banks
BBRI.JK,2020Q2,0.147894693,0,1,Banks
BBRM.JK,2020Q2,-1.748550492,1,1,Industrial Transportation
BBSI.JK,2020Q2,0,0,1,Banks
BBSS.JK,2020Q2,0.046330557,0,1,Real Estate Investment and Services Development
BBTN.JK,2020Q2,0.099706875,0,1,Banks
BBYB.JK,2020Q2,0.264776668,0,1,Banks
BCAP.JK,2020Q2,-0.033830637,0,1,Investment Banking and Brokerage Services
BCIC.JK,2020Q2,0.047830549,0,1,Banks
BCIP.JK,2020Q2,1.087358869,0,1,Real Estate Investment and Services Development
BDMN.JK,2020Q2,-0.198249711,0,1,Banks
BEEF.JK,2020Q2,-3.47539618,0,1,Food Producers
BEKS.JK,2020Q2,-0.393261013,0,1,Banks
BELL.JK,2020Q2,-0.372605638,1,1,Personal Goods
BESS.JK,2020Q2,0.567862271,1,1,Industrial Transportation
BEST.JK,2020Q2,2.9321689,0,1,Real Estate Investment and Services Development
BFIN.JK,2020Q2,0.022606467,0,1,Investment Banking and Brokerage Services
BGTG.JK,2020Q2,0.06373823,0,1,Banks
BHAT.JK,2020Q2,0,0,1,Life Insurance
BHIT.JK,2020Q2,1.568293601,0,1,Telecommunications Service Providers
BIKA.JK,2020Q2,-1.398045,0,1,Real Estate Investment and Services Development
BIMA.JK,2020Q2,-8.085841686,1,1,Personal Goods
BINA.JK,2020Q2,0.009555739,0,1,Banks
BIPI.JK,2020Q2,0.550716995,0,1,"Oil, Gas and Coal"
BIPP.JK,2020Q2,0.862975208,0,1,Real Estate Investment and Services Development
BIRD.JK,2020Q2,-1.418491616,1,1,Travel and Leisure
BISI.JK,2020Q2,2.455600763,0,1,Food Producers
BJBR.JK,2020Q2,0.314320043,0,1,Banks
BJTM.JK,2020Q2,0.456499813,0,1,Banks
BKDP.JK,2020Q2,-0.792297524,0,1,Real Estate Investment and Services Development
BKSL.JK,2020Q2,-1.060730209,0,1,Real Estate Investment and Services Development
BKSW.JK,2020Q2,-2.429197165,0,1,Banks
BLTA.JK,2020Q2,2.589568616,1,1,Industrial Transportation
BLTZ.JK,2020Q2,-4.576558777,1,1,Media
BLUE.JK,2020Q2,0.650411809,1,1,Retailers
BMAS.JK,2020Q2,0.209604796,0,1,Banks
BMRI.JK,2020Q2,0.184963602,0,1,Banks
BMSR.JK,2020Q2,-1.888603139,0,1,Real Estate Investment and Services Development
BMTR.JK,2020Q2,2.490825441,1,1,Media
BNBA.JK,2020Q2,0.197467277,0,1,Banks
BNBR.JK,2020Q2,1.004340247,1,1,Industrial Metals and Mining
BNGA.JK,2020Q2,0.251129049,0,1,Banks
BNII.JK,2020Q2,0.159507866,0,1,Banks
BNLI.JK,2020Q2,0.224211609,0,1,Banks
BOGA.JK,2020Q2,0.313060744,1,1,Retailers
BOLA.JK,2020Q2,-4.050247454,1,1,Travel and Leisure
BOLT.JK,2020Q2,-1.796213688,1,1,Automobiles and Parts
BOSS.JK,2020Q2,-2.552683722,0,1,"Oil, Gas and Coal"
BPFI.JK,2020Q2,0.231099563,0,1,Investment Banking and Brokerage Services
BPII.JK,2020Q2,0.691999788,1,1,Industrial Support Services
BPTR.JK,2020Q2,0.04330612,1,1,Industrial Transportation
BRAM.JK,2020Q2,-0.128162378,0,1,Chemicals
BRIS.JK,2020Q2,0.091591855,0,1,Banks
BRMS.JK,2020Q2,0.110701369,1,1,Industrial Metals and Mining
BRNA.JK,2020Q2,-0.756952744,0,1,General Industrials
BRPT.JK,2020Q2,0.142462559,0,1,Construction and Materials
BSDE.JK,2020Q2,-0.538147555,0,1,Real Estate Investment and Services Development
BSIM.JK,2020Q2,0.05106849,0,1,Banks
BSSR.JK,2020Q2,2.953514518,0,1,"Oil, Gas and Coal"
BSWD.JK,2020Q2,0.035693459,0,1,Banks
BTEK.JK,2020Q2,-2.607240043,0,1,Food Producers
BTEL.JK,2020Q2,437.555638,0,1,Telecommunications Service Providers
BTON.JK,2020Q2,-9.624842886,1,1,Industrial Metals and Mining
BTPN.JK,2020Q2,0.190141161,0,1,Banks
BTPS.JK,2020Q2,0.028104747,0,1,Banks
BUDI.JK,2020Q2,0.271640163,0,1,Food Producers
