Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After
AALI.JK,2019Q2,Food Producers,0.050227578,0.033592246,2.71618E+13,8.63566E+12,-81.82974339,-6.153257685,0,1
ABBA.JK,2019Q2,Industrial Support Services,-3.575364787,-5.931062393,5.18345E+11,3.43376E+11,-32.42327874,-17.9356426,1,1
ABMM.JK,2019Q2,"Oil, Gas and Coal",-0.02156834,-0.075400823,1.16534E+13,7.87731E+12,-52.2875909,-18.77551513,0,1
ACES.JK,2019Q2,Retailers,4.205699787,5.47606836,5.44998E+12,1.68411E+12,8.990449694,19.57469753,1,1
ACST.JK,2019Q2,Construction and Materials,-3.060276303,-27.91801518,1.07527E+13,9.78753E+12,-231.4676356,-20.04615493,0,1
ADES.JK,2019Q2,Beverages,1.523491099,2.608307209,8.66464E+11,3.66549E+11,11.65003773,4.237725844,0,1
ADHI.JK,2019Q2,Construction and Materials,0.456134476,2.194431129,3.13966E+13,2.50359E+13,6.01188268,5.346770191,0,1
ADMF.JK,2019Q2,Finance and Credit Services,1.455344315,7.180789784,3.368E+13,2.66964E+13,96.41724858,9.568456251,0,1
ADMG.JK,2019Q2,Chemicals,-2.601095521,-3.019355332,3.77111E+12,6.23765E+11,-276.8970606,-48.56344697,0,1
ADRO.JK,2019Q2,"Oil, Gas and Coal",2.67227577,4.730159084,1.01098E+14,4.65865E+13,22.81483052,8.205786937,0,1
AGII.JK,2019Q2,Chemicals,0.214508061,0.450009466,6.86102E+12,3.75665E+12,8.313892976,16.49951877,0,1
AKKU.JK,2019Q2,General Industrials,-0.181696625,-0.26026444,1.07417E+12,3.25252E+11,24.16731494,4.659440484,1,1
AKPI.JK,2019Q2,Chemicals,-0.04410534,-0.106926411,2.92145E+12,1.793E+12,8.308950579,-3.895162852,0,1
AKRA.JK,2019Q2,"Oil, Gas and Coal",0.893692075,2.247507906,1.90431E+13,1.07729E+13,-3.57662652,-13.08261086,0,1
AKSI.JK,2019Q2,Investment Banking and Brokerage Services,-0.804025288,-1.861534318,2.73784E+11,1.5112E+11,-15.15840995,39.57903916,1,1
ALDO.JK,2019Q2,Household Goods and Home Construction,1.590222368,3.112086379,9.33016E+11,5.3648E+11,61.87345001,1.789307302,0,1
ALKA.JK,2019Q2,Industrial Metals and Mining,1.228503812,4.555248146,4.08588E+11,3.91122E+11,-80.09566261,-68.11035397,1,1
ALTO.JK,2019Q2,Food Producers,-0.542801193,-1.557235548,1.10558E+12,7.1373E+11,-22.17466043,6.062232968,0,1
AMFG.JK,2019Q2,General Industrials,-0.50510519,-1.249748534,8.84574E+12,5.32277E+12,-76.26085218,0.30008011,1,1
AMIN.JK,2019Q2,Household Goods and Home Construction,1.352383762,2.662065632,4.22092E+11,2.09277E+11,-25.85183415,-13.36515538,0,1
AMRT.JK,2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,3.256828614,2.25252E+13,1.70787E+13,19.2310599,7.185410424,0,1
ANJT.JK,2019Q2,Food Producers,-1.101873068,-1.760055106,8.6226E+12,3.30797E+12,-235.0263619,-22.14157228,0,1
ANTM.JK,2019Q2,Industrial Metals and Mining,0.750074548,1.269609282,3.35668E+13,1.36891E+13,-40.80135967,34.88648278,1,1
APIC.JK,2019Q2,Investment Banking and Brokerage Services,1.3862453,2.49949449,3.42402E+12,1.29183E+12,-68.99437475,323.0947094,1,1
APII.JK,2019Q2,Electronic and Electrical Equipment,1.087004782,1.740513366,4.60514E+11,1.71437E+11,10.13209221,20.42324161,1,1
APLI.JK,2019Q2,General Industrials,-0.117513965,-0.24970561,4.38066E+11,2.30889E+11,-160.2104394,16.60494631,1,1
APLN.JK,2019Q2,Real Estate Investment and Services Development,0.026157824,-0.21337406,2.88324E+13,2.05012E+13,35.9890881,5.844144703,1,1
ARII.JK,2019Q2,"Oil, Gas and Coal",2.87490794,26.53918942,5.39427E+12,4.01606E+12,-25.20662335,73.08226241,0,1
ARNA.JK,2019Q2,Construction and Materials,2.898428075,4.467317703,1.63469E+12,5.72781E+11,44.23564545,13.23204261,0,1
ARTA.JK,2019Q2,Investment Banking and Brokerage Services,-0.514746245,-0.771311082,4.32976E+11,2.37908E+11,-102.0448324,-4.636759251,1,1
ARTI.JK,2019Q2,Household Goods and Home Construction,-0.969145861,-0.679284102,3.54397E+12,9.59531E+11,-78.75690136,-47.79026172,0,1
ASGR.JK,2019Q2,Technology Hardware & Equipment,1.334122664,2.090834464,2.28645E+12,8.12289E+11,-31.96768609,-20.43332699,0,1
ASII.JK,2019Q2,Automobiles and Parts,1.593431759,3.262716987,3.50288E+14,2.10847E+14,-9.487695403,-0.276739759,1,1
ASRI.JK,2019Q2,Real Estate Investment and Services Development,-0.035988626,-0.083289444,2.15959E+13,1.15005E+13,-38.99924831,-49.41335543,1,1
ASSA.JK,2019Q2,Consumer Services,0.354673371,2.19008288,4.55212E+12,3.40651E+12,4.726832196,31.82952658,1,1
ATIC.JK,2019Q2,Software & Computer Services,-0.13929218,-2.158305992,4.29363E+12,3.68592E+12,-46.8205372,21.12139038,1,1
AUTO.JK,2019Q2,Automobiles and Parts,0.502910994,0.837826107,1.59473E+13,5.6877E+12,78.42794661,1.815621586,1,1
BAJA.JK,2019Q2,Industrial Metals and Mining,-1.88070951,-20.71821443,7.76722E+11,7.96102E+11,-190.5571249,-21.16189008,1,1
BALI.JK,2019Q2,Telecommunications Service Providers,0.337887824,0.683684083,3.83911E+12,1.92862E+12,27.47966592,42.52268192,0,1
BAPA.JK,2019Q2,Real Estate Investment and Services Development,4.947109879,6.353011748,1.6318E+11,45715263700,-137.3392824,207.8748854,1,1
BATA.JK,2019Q2,Personal Goods,0.276985164,0.405142889,9.89781E+11,3.50419E+11,5.392115671,-4.928779702,1,1
BAYU.JK,2019Q2,Travel and Leisure,1.333613006,2.362936796,8.21811E+11,3.39246E+11,3.785629955,14.55223045,1,1
BBLD.JK,2019Q2,Finance and Credit Services,0.318769344,1.377831336,5.155E+12,3.93862E+12,7.957253103,17.04819588,0,1
BBRM.JK,2019Q2,Industrial Transportation,-1.59986551,-6.158225561,1.19509E+12,8.91058E+11,-39.79312695,-11.09887332,1,1
BCAP.JK,2019Q2,Investment Banking and Brokerage Services,0.071185273,0.242899327,1.83874E+13,1.34825E+13,-15.48585573,-4.929662727,1,1
BELL.JK,2019Q2,Personal Goods,1.016048109,2.116615024,5.533E+11,3.19036E+11,54.81069521,71.28061569,1,1
