Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After,TA_lag,Total Liabilities_lag
AALI.JK,2020Q2,Food Producers,0.093413644,0,27381270000000,8513006000000,51.75251393,-0.201556414,0,1,2.92186E+13,1.03223E+13
ABBA.JK,2020Q2,Industrial Support Services,-6.905750142,-18,418500278530,330645779850,810.480002,-22.04551823,1,1,5.2881E+11,3.3421E+11
ABMM.JK,2020Q2,"Oil, Gas and Coal",0.34515499,1,14505051335000,10276835573000,66.17555856,27.81291333,0,1,1.18567E+13,8.15979E+12
ACES.JK,2020Q2,Retailers,3.576190336,5,6989488929030,1980040327520,14.05191425,4.520688978,1,1,6.64181E+12,1.01851E+12
ACST.JK,2020Q2,Construction and Materials,-2.929108095,-316,4165404000000,4189146000000,-107.4615855,-63.34473001,0,1,4.69538E+12,4.59089E+12
ADES.JK,2020Q2,Beverages,2.248704831,3,818093000000,256827000000,-12.19164195,-42.94929875,0,1,8.45976E+11,2.54438E+11
ADHI.JK,2020Q2,Construction and Materials,-0.008797047,0,37639595474990,32144574447170,-47.16651853,-20.57056362,0,1,3.64494E+13,3.08261E+13
ADMF.JK,2020Q2,Finance and Credit Services,0.230515734,1,31960225000000,24439386000000,-50.38166175,-11.4142939,0,1,3.47979E+13,2.73249E+13
ADMG.JK,2020Q2,Chemicals,-2.798914809,-3,3272592415800,652338225000,67.37171148,-47.5567547,0,1,3.88766E+12,6.57927E+11
ADRO.JK,2020Q2,"Oil, Gas and Coal",0.897641377,2,94212033440000,51954179900000,-26.65277378,-33.7984618,0,1,1.12861E+14,4.84E+13
AGII.JK,2020Q2,Chemicals,-0.030523205,0,7121333000000,3929073000000,-8.710382876,-8.37273871,0,1,7.18909E+12,3.77993E+12
AKKU.JK,2020Q2,General Industrials,-0.998285331,-2,934595161040,356534675420,267.7909352,35.62527825,1,1,9.36699E+11,3.49299E+11
AKPI.JK,2020Q2,Chemicals,0.68465805,1,2745546407000,1716739534000,-55.18754984,3.306275122,0,1,3.18963E+12,1.53174E+12
AKRA.JK,2020Q2,"Oil, Gas and Coal",1.052883528,2,18553634067000,10089778289000,24.42791557,-21.83391936,0,1,2.15858E+13,1.30494E+13
AKSI.JK,2020Q2,Investment Banking and Brokerage Services,-1.642973512,-4,233220155230,147024940600,-188.257938,53.71092449,1,1,2.455E+11,1.71513E+11
ALDO.JK,2020Q2,Household Goods and Home Construction,1.529189215,2,935484825570,514192151190,-60.52821432,-20.67839612,0,1,9.38793E+11,5.09049E+11
ALKA.JK,2020Q2,Industrial Metals and Mining,0.674933516,4,531668351000,570263950000,199.3815733,30.87368512,1,1,6.7381E+11,5.05155E+11
ALTO.JK,2020Q2,Food Producers,-0.697130137,-2,1093690894070,732659562560,-92.35332217,-18.02085495,0,1,1.10834E+12,7.2439E+11
AMFG.JK,2020Q2,General Industrials,2.267613283,7,8425766000000,5375081000000,847.7834586,-40.44631277,1,1,8.73571E+12,5.90735E+12
AMIN.JK,2020Q2,Household Goods and Home Construction,-1.249990781,-3,436295808720,231690228140,-116.6519501,-38.88447903,0,1,4.20681E+11,2.10719E+11
AMRT.JK,2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2,23378728000000,23079449000000,42.16673773,-3.553396726,0,1,3.01789E+13,1.72954E+13
ANJT.JK,2020Q2,Food Producers,-0.702139732,-1,8773682010200,3337398844400,-63.98803788,17.45545044,0,1,9.45079E+12,3.63321E+12
ANTM.JK,2020Q2,Industrial Metals and Mining,1.206031969,2,30033248781000,12746045467000,-51.4712876,-50.97444463,1,1,3.07711E+13,1.20615E+13
APIC.JK,2020Q2,Investment Banking and Brokerage Services,0.274526224,1,4545514298970,2321612670410,180.9876042,109.4911109,1,1,4.17216E+12,1.88631E+12
APII.JK,2020Q2,Electronic and Electrical Equipment,1.261048592,2,506048861390,190773995340,3.230212951,2.456446169,1,1,5.05557E+11,1.96511E+11
APLI.JK,2020Q2,General Industrials,-0.556684549,-1,383617040470,172153464700,-104.4118272,-45.3771226,1,1,4.28158E+11,2.15161E+11
APLN.JK,2020Q2,Real Estate Investment and Services Development,1.430652817,5,30631607158000,23047252025000,-38.53987841,-66.74782471,1,1,3.12159E+13,2.0012E+13
ARII.JK,2020Q2,"Oil, Gas and Coal",0.335359463,4,5141029900000,5054108400000,-111.6258336,-54.34598094,0,1,5.67768E+12,4.42672E+12
ARNA.JK,2020Q2,Construction and Materials,3.182686535,5,1715197162410,617841190400,12.09553558,-15.1328793,0,1,1.74312E+12,6.91304E+11
ARTA.JK,2020Q2,Investment Banking and Brokerage Services,-3.020317246,-3,405414695520,229656058590,-6355.091054,-92.57202809,1,1,4.28847E+11,2.41294E+11
ARTI.JK,2020Q2,Household Goods and Home Construction,-20.76414572,0,1484267924380,454352417530,-449.422856,-69.63888013,0,1,1.79095E+12,4.50966E+11
ASGR.JK,2020Q2,Technology Hardware & Equipment,0.705196461,1,2596901000000,1018896000000,-51.03746457,-10.2621053,0,1,2.68021E+12,1.05464E+12
ASII.JK,2020Q2,Automobiles and Parts,2.097368577,4,343674000000000,190915000000000,-64.46648427,-36.73353955,1,1,3.6674E+14,2.12159E+14
ASRI.JK,2020Q2,Real Estate Investment and Services Development,3.871606489,9,21431234874000,13771387049000,-102.0291286,3.59469142,1,1,2.28536E+13,1.14412E+13
ASSA.JK,2020Q2,Consumer Services,-0.165937697,1,4979786041360,3735285610440,-37.72389666,22.62486965,1,1,5.11113E+12,3.88599E+12
ATIC.JK,2020Q2,Software & Computer Services,-0.142794161,-2,4767147121810,3976586673230,177.6004331,4.035427299,1,1,4.61148E+12,4.00589E+12
AUTO.JK,2020Q2,Automobiles and Parts,-2.795635407,-4,15251846000000,5171325000000,-369.1358103,-50.31151498,1,1,1.67875E+13,6.0702E+12
BAJA.JK,2020Q2,Industrial Metals and Mining,11.38741992,396,776321312840,886889436390,-1579.737459,32.92140284,1,1,8.63906E+11,7.62684E+11
BALI.JK,2020Q2,Telecommunications Service Providers,0.514035532,1,4418440530550,2378147906200,17.96140278,24.8225503,0,1,4.24221E+12,2.26626E+12
BAPA.JK,2020Q2,Real Estate Investment and Services Development,-0.09973312,0,143630281170,10128780080,32.66672046,-84.36064608,1,1,1.42929E+11,7539314890
BATA.JK,2020Q2,Personal Goods,-0.878800031,-1,974116467000,328777651000,-300.1316713,-19.45829378,1,1,8.63147E+11,2.09895E+11
BAYU.JK,2020Q2,Travel and Leisure,-1.300081118,-2,741417864640,318202996450,-63.31261905,-91.96618253,1,1,7.54262E+11,3.81466E+11
BBLD.JK,2020Q2,Finance and Credit Services,-0.0558596,0,4786798000000,3818276000000,-1.480737239,-17.74718631,0,1,5.01277E+12,3.84392E+12
BBRM.JK,2020Q2,Industrial Transportation,-1.748550492,-8,1217037381000,941497617000,49.68257944,-9.437937415,1,1,1.07568E+12,8.22588E+11
BCAP.JK,2020Q2,Investment Banking and Brokerage Services,-0.033830637,0,17431337000000,13465655000000,-28.74205209,-16.66757631,1,1,1.84296E+13,1.34698E+13
BELL.JK,2020Q2,Personal Goods,-0.372605638,-1,655208170500,412376172150,-74.06900483,-6.398435994,1,1,6.23415E+11,3.77936E+11
BEST.JK,2020Q2,Real Estate Investment and Services Development,2.9321689,4,6395256790730,1964195933660,-20.23269421,-18.87384785,1,1,6.50365E+12,2.26171E+12
BFIN.JK,2020Q2,Investment Banking and Brokerage Services,0.022606467,0,17285051000000,11134456000000,-65.12338799,-15.65480235,1,1,1.96778E+13,1.33722E+13
BHIT.JK,2020Q2,Telecommunications Service Providers,1.568293601,3,56499507000000,45059189000000,2.421166632,-15.87811048,0,1,5.76766E+13,4.39393E+13
BIKA.JK,2020Q2,Real Estate Investment and Services Development,-1.398045,-4,2331028642650,2064643728600,268.8469073,-52.01645207,1,1,2.35891E+12,2.05191E+12
BIPI.JK,2020Q2,"Oil, Gas and Coal",0.550716995,2,17399293570800,15629593551000,-22.90593701,36.58528692,0,1,1.86499E+13,1.34169E+13
BIPP.JK,2020Q2,Real Estate Investment and Services Development,0.862975208,1,2152100703490,1321197963580,-4493.168046,137.4185407,1,1,2.14703E+12,1.36092E+12
BIRD.JK,2020Q2,Travel and Leisure,-1.418491616,-2,7630135000000,2414617000000,-190.0697293,-71.62506303,1,1,7.70235E+12,2.37942E+12
BISI.JK,2020Q2,Food Producers,2.455600763,3,2800977000000,389208000000,339.5594059,12.98190892,0,1,2.88887E+12,5.48393E+11
BKDP.JK,2020Q2,Real Estate Investment and Services Development,-0.792297524,-1,818757973000,320580920250,18.5373753,-39.62482024,1,1,8.25049E+11,3.18608E+11
BKSL.JK,2020Q2,Real Estate Investment and Services Development,-1.060730209,-2,18612468579170,9261175776120,-245.3890215,-48.72062699,1,1,1.72753E+13,7.76115E+12
BLTA.JK,2020Q2,Industrial Transportation,2.589568616,6,1002874969800,597323606000,394.6564494,8.985969498,1,1,1.10481E+12,5.10231E+11
BLTZ.JK,2020Q2,Media,-4.576558777,-12,2766391225000,1775811132000,-430.1954932,-100,1,1,2.96532E+12,6.73503E+11
BMSR.JK,2020Q2,Real Estate Investment and Services Development,-1.888603139,-9,577347360080,605411217550,-64.9597809,-22.08695475,1,1,7.56984E+11,4.71607E+11
BMTR.JK,2020Q2,Media,2.490825441,4,30901194000000,19923067000000,-55.69366203,-14.55644289,1,1,3.05612E+13,1.90866E+13
BOGA.JK,2020Q2,Retailers,0.313060744,0,592120947370,178092235270,14.67915598,-52.37674369,1,1,6.0592E+11,1.52549E+11
BOLT.JK,2020Q2,Automobiles and Parts,-1.796213688,-3,1149720310350,466537162310,1843.315019,-70.52773187,1,1,1.26961E+12,5.66668E+11
BPFI.JK,2020Q2,Investment Banking and Brokerage Services,0.231099563,0,1613581425620,775273244450,-79.92454258,-14.14817041,1,1,1.82749E+12,9.89771E+11
BPII.JK,2020Q2,Industrial Support Services,0.691999788,2,2423830236840,1447913358500,-23.42815221,-7.901327172,1,1,2.62638E+12,1.66436E+12
BRAM.JK,2020Q2,Chemicals,-0.128162378,0,3777722443600,959065434400,-96.31222058,-54.75078764,0,1,4.50963E+12,1.24938E+12
BRNA.JK,2020Q2,General Industrials,-0.756952744,-2,2167596983000,1387881156000,1181.48109,-7.866701592,1,1,2.28241E+12,1.37049E+12
BRPT.JK,2020Q2,Construction and Materials,0.142462559,-1,101762075180000,83631300300000,-68.96872399,-20.16984024,0,1,1.16227E+14,9.74243E+13
BSDE.JK,2020Q2,Real Estate Investment and Services Development,-0.538147555,-1,60411848311460,32306113309600,-27.51413324,-57.29699498,1,1,6.01053E+13,2.53136E+13
BSSR.JK,2020Q2,"Oil, Gas and Coal",2.953514518,4,3617597487800,1167213823000,416.5307283,-22.23304958,0,1,4.11034E+12,1.11545E+12
BTEK.JK,2020Q2,Food Producers,-2.607240043,-7,5215861754940,3698169275910,-121.7756968,57.31090234,0,1,6.00408E+12,2.83263E+12
BTON.JK,2020Q2,Industrial Metals and Mining,-9.624842886,-12,249140434390,56218326280,17449.61323,-6.183479361,1,1,2.69477E+11,46327027430
BUDI.JK,2020Q2,Food Producers,0.271640163,1,2914295000000,1650265000000,-17.40055739,-17.40738945,0,1,2.84627E+12,1.81045E+12
BUKK.JK,2020Q2,Construction and Materials,2.110012701,4,4807822517000,2146544315000,38.58362762,-17.9494862,0,1,4.80363E+12,2.24364E+12
BULL.JK,2020Q2,Industrial Transportation,1.804129615,4,10003954124600,6281096605000,208.6158918,117.2258835,1,1,1.10711E+13,3.92208E+12
BUVA.JK,2020Q2,Real Estate Investment and Services Development,-0.873686161,-2,3673673011990,1956632054800,-33.13896854,-97.98729842,1,1,3.68778E+12,2.42552E+12
BWPT.JK,2020Q2,Food Producers,-1.802662494,-6,15586735000000,11471771000000,-16.64453989,-15.36833147,0,1,1.57436E+13,1.1355E+13
BYAN.JK,2020Q2,"Oil, Gas and Coal",2.588452261,6,19667092374600,11185294604000,-58.871006,-24.79510807,0,1,2.21345E+13,1.33647E+13
CARS.JK,2020Q2,Retailers,-1.071202624,-5,7085307156710,6047668015730,-63.89882536,-62.98062712,1,1,7.63991E+12,6.2368E+12
CASS.JK,2020Q2,Industrial Transportation,-11.80376743,-37,1612441000000,1173237000000,519.4620447,-8.007022593,1,1,2.03938E+12,1.30381E+12
CEKA.JK,2020Q2,Food Producers,0.041231238,0,1369227862980,171004052760,-110.3102861,-6.007875128,0,1,1.43147E+12,2.33826E+11
CENT.JK,2020Q2,Telecommunications Service Providers,-0.475020975,-1,8028755000000,3389143000000,5.769993099,42.64101903,0,1,6.23251E+12,2.71419E+12
CFIN.JK,2020Q2,Finance and Credit Services,0.082650493,0,11155216433000,6359275238000,-42.76847378,-21.72717763,0,1,1.18766E+13,7.09014E+12
CINT.JK,2020Q2,Household Goods and Home Construction,0.095305069,0,517640079040,136843784100,-108.6512262,-16.48289722,0,1,5.21616E+11,1.42938E+11
CITA.JK,2020Q2,Industrial Metals and Mining,4.212568879,5,4362823253710,1126041375910,15.24245177,37.22006843,1,1,4.84477E+12,1.8464E+12
CLEO.JK,2020Q2,Beverages,2.194226497,4,1339700022810,511400705600,-7.362267025,-17.1433031,0,1,1.32576E+12,5.24004E+11
CLPI.JK,2020Q2,Chemicals,0.463878089,1,717528627320,230017251280,-26.45871981,-0.714975131,0,1,7.12009E+11,2.2062E+11
CMNP.JK,2020Q2,Industrial Transportation,0.439372299,1,15638874667000,8167998598470,-10.47339343,-45.92884735,1,1,1.54767E+13,8.32613E+12
COWL.JK,2020Q2,Real Estate Investment and Services Development,-0.527877028,-2,3733012257460,2650542028030,463.7442172,-35.31495608,1,1,3.57297E+12,2.47333E+12
CPIN.JK,2020Q2,Food Producers,2.32672106,3,32004676000000,8770542000000,18.27705835,-9.303397138,0,1,3.07515E+13,8.2265E+12
CSAP.JK,2020Q2,Retailers,0.212796852,1,6709613847000,5242990113000,21.39569509,-1.961911414,1,1,7.08605E+12,4.76313E+12
CTRA.JK,2020Q2,Real Estate Investment and Services Development,-0.058586788,0,37884189000000,23159890000000,-26.75105981,-13.61599428,1,1,3.78701E+13,2.08435E+13
CTTH.JK,2020Q2,Construction and Materials,-0.079179869,0,745464901680,471279084520,-172.4010115,-15.72495766,0,1,7.48379E+11,4.45046E+11
DART.JK,2020Q2,Real Estate Investment and Services Development,-1.694180748,-4,6698203838000,3526268451000,-50.59041707,-42.67754525,1,1,6.75874E+12,3.56582E+12
DAYA.JK,2020Q2,Retailers,-3.135725485,-15,689702206000,554225194000,-700.89473,-41.05026867,1,1,7.49385E+11,5.91346E+11
DEFI.JK,2020Q2,Investment Banking and Brokerage Services,-0.114586428,0,96922043090,725353160,291.0986686,-21.08069254,1,1,1.00859E+11,1289485340
DEWA.JK,2020Q2,Industrial Metals and Mining,0.126779927,0,8782060373000,4954625099000,806.9181924,41.97469433,1,1,7.62732E+12,4.37769E+12
DGIK.JK,2020Q2,Construction and Materials,-0.620032155,-1,1210163814610,625750033890,-24.56596951,-55.76885465,0,1,1.28744E+12,6.6552E+11
DILD.JK,2020Q2,Real Estate Investment and Services Development,0.0001501,0,15917280081410,10753016969710,50.42566287,48.32556104,1,1,1.59278E+13,8.58181E+12
DLTA.JK,2020Q2,Beverages,-0.54873104,-1,1406321516000,194328999000,-50.098553,-69.10769861,0,1,1.44628E+12,2.16459E+11
DMAS.JK,2020Q2,Real Estate Investment and Services Development,0.348766821,0,6987604175310,1537090997900,-93.75179438,-85.19123735,1,1,7.6598E+12,1.2227E+12
DNET.JK,2020Q2,Software & Computer Services,-0.115357689,0,15753656588380,6186541487620,13.72229445,131.4612262,1,1,1.5514E+13,6.20865E+12
DOID.JK,2020Q2,"Oil, Gas and Coal",1.330751587,6,15752851697400,14025001176000,68.37737098,-28.24892634,0,1,1.82263E+13,1.25106E+13
DPNS.JK,2020Q2,Chemicals,-0.476069805,-1,321478340640,79165308880,13.1746097,-14.3205547,0,1,3.27712E+11,71690946090
DPUM.JK,2020Q2,Food Producers,-8.955560067,-15,1820802086890,697843302680,904.9976696,-24.43279381,0,1,1.93921E+12,7.03295E+11
DSFI.JK,2020Q2,Food Producers,-2.093608652,-4,377347388460,199335899700,-67.82894914,-58.53376026,0,1,3.96237E+11,1.94601E+11
