Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH_YoY_in_percent,Treated,After_YoY
AALI.JK,2020Q2,Food Producers,0.093413644,0,27381270000000,8513006000000,51.75251393,-0.201556414,0,1
ABBA.JK,2020Q2,Industrial Support Services,-6.905750142,-18,418500278530,330645779850,810.480002,-22.04551823,1,1
ABMM.JK,2020Q2,"Oil, Gas and Coal",0.34515499,1,14505051335000,10276835573000,66.17555856,27.81291333,0,1
ACES.JK,2020Q2,Retailers,3.576190336,5,6989488929030,1980040327520,14.05191425,4.520688978,1,1
ACST.JK,2020Q2,Construction and Materials,-2.929108095,-316,4165404000000,4189146000000,-107.4615855,-63.34473001,0,1
ADES.JK,2020Q2,Beverages,2.248704831,3,818093000000,256827000000,-12.19164195,-42.94929875,0,1
ADHI.JK,2020Q2,Construction and Materials,-0.008797047,0,37639595474990,32144574447170,-47.16651853,-20.57056362,0,1
ADMF.JK,2020Q2,Finance and Credit Services,0.230515734,1,31960225000000,24439386000000,-50.38166175,-11.4142939,0,1
ADMG.JK,2020Q2,Chemicals,-2.798914809,-3,3272592415800,652338225000,67.37171148,-47.5567547,0,1
ADRO.JK,2020Q2,"Oil, Gas and Coal",0.897641377,2,94212033440000,51954179900000,-26.65277378,-33.7984618,0,1
AGII.JK,2020Q2,Chemicals,-0.030523205,0,7121333000000,3929073000000,-8.710382876,-8.37273871,0,1
AKKU.JK,2020Q2,General Industrials,-0.998285331,-2,934595161040,356534675420,267.7909352,35.62527825,1,1
AKPI.JK,2020Q2,Chemicals,0.68465805,1,2745546407000,1716739534000,-55.18754984,3.306275122,0,1
AKRA.JK,2020Q2,"Oil, Gas and Coal",1.052883528,2,18553634067000,10089778289000,24.42791557,-21.83391936,0,1
AKSI.JK,2020Q2,Investment Banking and Brokerage Services,-1.642973512,-4,233220155230,147024940600,-188.257938,53.71092449,1,1
ALDO.JK,2020Q2,Household Goods and Home Construction,1.529189215,2,935484825570,514192151190,-60.52821432,-20.67839612,0,1
ALKA.JK,2020Q2,Industrial Metals and Mining,0.674933516,4,531668351000,570263950000,199.3815733,30.87368512,1,1
ALTO.JK,2020Q2,Food Producers,-0.697130137,-2,1093690894070,732659562560,-92.35332217,-18.02085495,0,1
AMFG.JK,2020Q2,General Industrials,2.267613283,7,8425766000000,5375081000000,847.7834586,-40.44631277,1,1
AMIN.JK,2020Q2,Household Goods and Home Construction,-1.249990781,-3,436295808720,231690228140,-116.6519501,-38.88447903,0,1
AMRT.JK,2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2,23378728000000,23079449000000,42.16673773,-3.553396726,0,1
ANDI.JK,2020Q2,Food Producers,0.570079885,1,510220299720,238244641320,7.374379897,-13.51027713,0,1
ANJT.JK,2020Q2,Food Producers,-0.702139732,-1,8773682010200,3337398844400,-63.98803788,17.45545044,0,1
ANTM.JK,2020Q2,Industrial Metals and Mining,1.206031969,2,30033248781000,12746045467000,-51.4712876,-50.97444463,1,1
APIC.JK,2020Q2,Investment Banking and Brokerage Services,0.274526224,1,4545514298970,2321612670410,180.9876042,109.4911109,1,1
APII.JK,2020Q2,Electronic and Electrical Equipment,1.261048592,2,506048861390,190773995340,3.230212951,2.456446169,1,1
APLI.JK,2020Q2,General Industrials,-0.556684549,-1,383617040470,172153464700,-104.4118272,-45.3771226,1,1
APLN.JK,2020Q2,Real Estate Investment and Services Development,1.430652817,5,30631607158000,23047252025000,-38.53987841,-66.74782471,1,1
ARII.JK,2020Q2,"Oil, Gas and Coal",0.335359463,4,5141029900000,5054108400000,-111.6258336,-54.34598094,0,1
ARMY.JK,2020Q2,Real Estate Investment and Services Development,0.272894786,0,1809918037200,353684403330,-79.78816353,-77.31181222,1,1
ARNA.JK,2020Q2,Construction and Materials,3.182686535,5,1715197162410,617841190400,12.09553558,-15.1328793,0,1
ARTA.JK,2020Q2,Investment Banking and Brokerage Services,-3.020317246,-3,405414695520,229656058590,-6355.091054,-92.57202809,1,1
ARTI.JK,2020Q2,Household Goods and Home Construction,-20.76414572,0,1484267924380,454352417530,-449.422856,-69.63888013,0,1
ASGR.JK,2020Q2,Technology Hardware & Equipment,0.705196461,1,2596901000000,1018896000000,-51.03746457,-10.2621053,0,1
ASII.JK,2020Q2,Automobiles and Parts,2.097368577,4,343674000000000,190915000000000,-64.46648427,-36.73353955,1,1
ASRI.JK,2020Q2,Real Estate Investment and Services Development,3.871606489,9,21431234874000,13771387049000,-102.0291286,3.59469142,1,1
ASSA.JK,2020Q2,Consumer Services,-0.165937697,1,4979786041360,3735285610440,-37.72389666,22.62486965,1,1
ATIC.JK,2020Q2,Software & Computer Services,-0.142794161,-2,4767147121810,3976586673230,177.6004331,4.035427299,1,1
AUTO.JK,2020Q2,Automobiles and Parts,-2.795635407,-4,15251846000000,5171325000000,-369.1358103,-50.31151498,1,1
BAJA.JK,2020Q2,Industrial Metals and Mining,11.38741992,396,776321312840,886889436390,-1579.737459,32.92140284,1,1
BALI.JK,2020Q2,Telecommunications Service Providers,0.514035532,1,4418440530550,2378147906200,17.96140278,24.8225503,0,1
BAPA.JK,2020Q2,Real Estate Investment and Services Development,-0.09973312,0,143630281170,10128780080,32.66672046,-84.36064608,1,1
BATA.JK,2020Q2,Personal Goods,-0.878800031,-1,974116467000,328777651000,-300.1316713,-19.45829378,1,1
BAYU.JK,2020Q2,Travel and Leisure,-1.300081118,-2,741417864640,318202996450,-63.31261905,-91.96618253,1,1
BBLD.JK,2020Q2,Finance and Credit Services,-0.0558596,0,4786798000000,3818276000000,-1.480737239,-17.74718631,0,1
BBRM.JK,2020Q2,Industrial Transportation,-1.748550492,-8,1217037381000,941497617000,49.68257944,-9.437937415,1,1
BCAP.JK,2020Q2,Investment Banking and Brokerage Services,-0.033830637,0,17431337000000,13465655000000,-28.74205209,-16.66757631,1,1
