Firm,Period,ICB Sector,ROA_in_percent,TA,Total Liabilities,FCF,GROWTH_YoY_in_percent,Treated,After_YoY,
AALI.JK,2020Q2,Food Producers,0.093413644,27381270000000,8513006000000,131357000000,51.75251393,0,1,
AALI.JK,2019Q2,Food Producers,0.050227578,27161831000000,8635662000000,42451000000,-81.82974339,0,0,
ABMM.JK,2020Q2,"Oil, Gas and Coal",0.34515499,14505051335000,10276835573000,298298802000,66.17555856,0,1,
ABMM.JK,2019Q2,"Oil, Gas and Coal",-0.02156834,11653440472050,7877308925850,122767337550,-52.2875909,0,0,
ACES.JK,2020Q2,Retailers,3.576190336,6989488929030,1980040327520,347061324400,14.05191425,1,1,
ACES.JK,2019Q2,Retailers,4.205699787,5449977515040,1684106847020,232085487660,8.990449694,1,0,
ADES.JK,2019Q2,Beverages,1.523491099,866464000000,366549000000,25741000000,11.65003773,0,0,
ADES.JK,2020Q2,Beverages,2.248704831,818093000000,256827000000,29401000000,-12.19164195,0,1,
ADMF.JK,2019Q2,Finance and Credit Services,1.455344315,33680020000000,26696425000000,473457000000,96.41724858,0,0,
ADMF.JK,2020Q2,Finance and Credit Services,0.230515734,31960225000000,24439386000000,56319000000,-50.38166175,0,1,
ADRO.JK,2019Q2,"Oil, Gas and Coal",2.67227577,101097893625000,46586457450000,978328845000,22.81483052,0,0,
ADRO.JK,2020Q2,"Oil, Gas and Coal",0.897641377,94212033440000,51954179900000,25933300000,-26.65277378,0,1,
AISA.JK,2019Q2,Food Producers,-2.832360809,1756707000000,5247454000000,3024000000,-36.71677333,0,0,
AISA.JK,2020Q2,Food Producers,-1.741529045,2047640000000,3488090000000,24452000000,-944.4026341,0,1,
ALDO.JK,2019Q2,Household Goods and Home Construction,1.590222368,933015990450,536479596180,21322212770,61.87345001,0,0,
ALDO.JK,2020Q2,Household Goods and Home Construction,1.529189215,935484825570,514192151190,11767496960,-60.52821432,0,1,
ALKA.JK,2020Q2,Industrial Metals and Mining,0.674933516,531668351000,570263950000,2842662000,199.3815733,1,1,
ALKA.JK,2019Q2,Industrial Metals and Mining,1.228503812,408588052000,391122083000,3711971000,-80.09566261,1,0,
AMAG.JK,2020Q2,Non-life Insurance,0.350009557,4935622220000,2951491728000,23889487000,21.46615899,1,1,
AMAG.JK,2019Q2,Non-life Insurance,0.190095731,4716055810000,2817052600000,13568247000,-6.151989144,1,0,
AMFG.JK,2020Q2,General Industrials,2.267613283,8425766000000,5375081000000,289508000000,847.7834586,1,1,
AMFG.JK,2019Q2,General Industrials,-0.50510519,8845744000000,5322773000000,135350000000,-76.26085218,1,0,
AMRT.JK,2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,23378728000000,23079449000000,235012000000,42.16673773,0,1,
AMRT.JK,2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,22525209000000,17078711000000,167797000000,19.2310599,0,0,
ANDI.JK,2019Q2,Food Producers,-0.074598892,508206810970,270381469900,16375154150,13.75260089,0,0,
ANDI.JK,2020Q2,Food Producers,0.570079885,510220299720,238244641320,15620103790,7.374379897,0,1,
APIC.JK,2020Q2,Investment Banking and Brokerage Services,0.274526224,4545514298970,2321612670410,84672126480,180.9876042,1,1,
APIC.JK,2019Q2,Investment Banking and Brokerage Services,1.3862453,3424015446360,1291826127650,23031545290,-68.99437475,1,0,
APLI.JK,2020Q2,General Industrials,-0.556684549,383617040470,172153464700,3477108420,-104.4118272,1,1,
APLI.JK,2019Q2,General Industrials,-0.117513965,438065748290,230888518950,8233596860,-160.2104394,1,0,
ARMY.JK,2019Q2,Real Estate Investment and Services Development,1.374156626,1743499562020,287780418720,20693420060,-14.89610958,1,0,
ARMY.JK,2020Q2,Real Estate Investment and Services Development,0.272894786,1809918037200,353684403330,5063274290,-79.78816353,1,1,
