Firm,Period,Code,ICB Sector,ROA,ROE,Treated,After,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH
AALI.JK,2020Q2,AALI.JK2020Q2,Food Producers,0.093413644,0.110357465,0,1,2.92186E+13,1.03223E+13,5.13882E+11,7.205318793,13.306072
ACES.JK,2020Q2,ACES.JK2020Q2,Retailers,3.576190336,5.148362188,1,1,6.64181E+12,1.01851E+12,3.21552E+11,-0.023959241,4.434520763
ADES.JK,2020Q2,ADES.JK2020Q2,Beverages,2.248704831,3.126127812,0,1,8.45976E+11,2.54438E+11,43717000000,0.835173734,4.077619122
ADMF.JK,2020Q2,ADMF.JK2020Q2,Finance and Credit Services,0.230515734,1.026339636,0,1,3.47979E+13,2.73249E+13,5.28552E+11,0.08686108,6.194665652
ALDO.JK,2020Q2,ALDO.JK2020Q2,Household Goods and Home Construction,1.529189215,2.378251671,0,1,9.38793E+11,5.09049E+11,23265172390,-0.362784091,3.474614206
AMRT.JK,2020Q2,AMRT.JK2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2.079482329,0,1,3.01789E+13,1.72954E+13,3.24554E+11,0.205587162,15.66835536
APIC.JK,2020Q2,APIC.JK2020Q2,Investment Banking and Brokerage Services,0.274526224,0.522110558,1,1,4.17216E+12,1.88631E+12,25320228870,0.730515169,383.599174
ASGR.JK,2020Q2,ASGR.JK2020Q2,Technology Hardware & Equipment,0.705196461,1.161641181,0,1,2.68021E+12,1.05464E+12,56140000000,-0.698463833,-2.804439564
ASII.JK,2020Q2,ASII.JK2020Q2,Automobiles and Parts,2.097368577,4.274093837,1,1,3.6674E+14,2.12159E+14,8.053E+12,-0.170957478,-9.403258007
ASSA.JK,2020Q2,ASSA.JK2020Q2,Consumer Services,-0.165937697,0.664331958,1,1,5.11113E+12,3.88599E+12,1.5947E+11,0.046553576,37.93087779
BAYU.JK,2020Q2,BAYU.JK2020Q2,Travel and Leisure,-1.300081118,-2.276112016,1,1,7.54262E+11,3.81466E+11,19888014360,-0.016272349,-15.10995999
BBLD.JK,2020Q2,BBLD.JK2020Q2,Finance and Credit Services,-0.0558596,-0.227960425,0,1,5.01277E+12,3.84392E+12,18022000000,0.069356939,0.506274056
BFIN.JK,2020Q2,BFIN.JK2020Q2,Investment Banking and Brokerage Services,0.022606467,0.067099105,1,1,1.96778E+13,1.33722E+13,3.20769E+11,-0.031368672,9.589334467
BIPI.JK,2020Q2,BIPI.JK2020Q2,"Oil, Gas and Coal",0.550716995,2.296948004,0,1,1.86499E+13,1.34169E+13,1.36476E+11,-0.081170921,42.95090389
BISI.JK,2020Q2,BISI.JK2020Q2,Food Producers,2.455600763,2.937051489,0,1,2.88887E+12,5.48393E+11,24483000000,-0.655416845,-27.61008411
