Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,GROWTH_Q-1_in_percent,REV_GROWTH_Q-1_in_percent,Treated,After
AALI.JK,2020Q2,Food Producers,0.093413644,0.110357465,2.73813E+13,8.51301E+12,1.31357E+11,-71.47897557,-10.65767405,0,1
ABMM.JK,2020Q2,"Oil, Gas and Coal",0.34515499,0.683327751,1.45051E+13,1.02768E+13,2.98299E+11,167.2564031,27.49273266,0,1
ACES.JK,2020Q2,Retailers,3.576190336,5.148362188,6.98949E+12,1.98004E+12,3.47061E+11,16.37201745,-9.294041163,1,1
ADMF.JK,2020Q2,Finance and Credit Services,0.230515734,1.026339636,3.19602E+13,2.44394E+13,56319000000,-51.04688678,-15.23687401,0,1
ADRO.JK,2020Q2,"Oil, Gas and Coal",0.897641377,1.530234883,9.4212E+13,5.19542E+13,25933300000,-1220.283687,-29.00366762,0,1
ALDO.JK,2020Q2,Household Goods and Home Construction,1.529189215,2.378251671,9.35485E+11,5.14192E+11,11767496960,-41.66524391,-33.12123146,0,1
ALKA.JK,2020Q2,Industrial Metals and Mining,0.674933516,3.866050256,5.31668E+11,5.70264E+11,2842662000,-177.5505113,-16.54763726,1,1
AMRT.JK,2020Q2,"Personal Care, Drug and Grocery Stores",0.565764741,2.079482329,2.33787E+13,2.30794E+13,2.35012E+11,-25.98444803,-3.021600237,0,1
APIC.JK,2020Q2,Investment Banking and Brokerage Services,0.274526224,0.522110558,4.54551E+12,2.32161E+12,84672126480,124.5679819,-61.72005104,1,1
ARNA.JK,2020Q2,Construction and Materials,3.182686535,5.112592489,1.7152E+12,6.17841E+11,60113259300,-15.99711686,-29.3943896,0,1
ARTI.JK,2020Q2,Household Goods and Home Construction,-20.76414572,-0.050659517,1.48427E+12,4.54352E+11,13779021650,-73.25814183,-13.05631697,0,1
ASGR.JK,2020Q2,Technology Hardware & Equipment,0.705196461,1.161641181,2.5969E+12,1.0189E+12,73394000000,134.1280047,4.613304032,0,1
ASII.JK,2020Q2,Automobiles and Parts,2.097368577,4.274093837,3.43674E+14,1.90915E+14,9.016E+12,-63.74738311,-33.71912151,1,1
ASSA.JK,2020Q2,Consumer Services,-0.165937697,0.664331958,4.97979E+12,3.73529E+12,1.32361E+11,-37.43058448,-0.024691753,1,1
BAYU.JK,2020Q2,Travel and Leisure,-1.300081118,-2.276112016,7.41418E+11,3.18203E+11,2161353650,-88.41273244,-86.04232928,1,1
BBLD.JK,2020Q2,Finance and Credit Services,-0.0558596,-0.227960425,4.7868E+12,3.81828E+12,18299000000,-2.243940706,-15.45038245,0,1
BCAP.JK,2020Q2,Investment Banking and Brokerage Services,-0.033830637,-0.133510202,1.74313E+13,1.34657E+13,20581000000,-34.28991192,-16.45338931,1,1
BFIN.JK,2020Q2,Investment Banking and Brokerage Services,0.022606467,0.067099105,1.72851E+13,1.11345E+13,15901000000,-63.64046487,-22.40899116,1,1
BIRD.JK,2020Q2,Travel and Leisure,-1.418491616,-2.038534885,7.63014E+12,2.41462E+12,12231000000,-436.6697362,-69.92871506,1,1
BLTA.JK,2020Q2,Industrial Transportation,2.589568616,5.590901446,1.00287E+12,5.97324E+11,17909951000,-145.8919157,13.93774351,1,1
BMSR.JK,2020Q2,Real Estate Investment and Services Development,-1.888603139,-8.746390485,5.77347E+11,6.05411E+11,1739289500,-49.97323559,-29.58908149,1,1
BPFI.JK,2020Q2,Investment Banking and Brokerage Services,0.231099563,0.474473201,1.61358E+12,7.75273E+11,5748662510,-79.86081772,-23.21336947,1,1
BPII.JK,2020Q2,Industrial Support Services,0.691999788,1.501798761,2.42383E+12,1.44791E+12,63251481220,-5.966866832,-13.78530036,1,1
BSDE.JK,2020Q2,Real Estate Investment and Services Development,-0.538147555,-1.216916334,6.04118E+13,3.23061E+13,2.07796E+11,-26.10112849,-43.70801214,1,1
BTEK.JK,2020Q2,Food Producers,-2.607240043,-6.750082102,5.21586E+12,3.69817E+12,10358140550,-90.95922207,-25.3200402,0,1
BTON.JK,2020Q2,Industrial Metals and Mining,-9.624842886,-12.45032397,2.4914E+11,56218326280,28965495370,-3579.730439,4.444231526,1,1
BUDI.JK,2020Q2,Food Producers,0.271640163,0.558634996,2.9143E+12,1.65027E+12,45336000000,-20.89965062,-29.87889161,0,1
BUKK.JK,2020Q2,Construction and Materials,2.110012701,3.879724815,4.80782E+12,2.14654E+12,1.34181E+11,-5.734933788,-5.537597821,0,1
BYAN.JK,2020Q2,"Oil, Gas and Coal",2.588452261,5.929446344,1.96671E+13,1.11853E+13,4.55783E+11,-7.172788562,-1.498248947,0,1
CFIN.JK,2020Q2,Finance and Credit Services,0.082650493,0.198655354,1.11552E+13,6.35928E+12,12094948000,-42.35755649,-23.9406349,0,1
CITA.JK,2020Q2,Industrial Metals and Mining,4.212568879,5.236238699,4.36282E+12,1.12604E+12,2.7666E+11,6.414907153,-1.020516326,1,1
CLPI.JK,2020Q2,Chemicals,0.463878089,0.686655378,7.17529E+11,2.30017E+11,5909196500,-17.30673905,-6.641254908,0,1
CPIN.JK,2020Q2,Food Producers,2.32672106,3.269504904,3.20047E+13,8.77054E+12,5.77193E+11,-17.66046699,36.81643007,0,1
CTRA.JK,2020Q2,Real Estate Investment and Services Development,-0.058586788,-0.054091247,3.78842E+13,2.31599E+13,1.83004E+11,-63.46913362,-14.25444334,1,1
DEFI.JK,2020Q2,Investment Banking and Brokerage Services,-0.114586428,-0.115357349,96922043090,725353160,624933820,-12.76545437,-46.64612673,1,1
DILD.JK,2020Q2,Real Estate Investment and Services Development,0.0001501,0.102303304,1.59173E+13,1.0753E+13,83481261520,-64.40294885,-18.15483525,1,1
DLTA.JK,2020Q2,Beverages,-0.54873104,-0.617467612,1.40632E+12,1.94329E+11,44514972000,-59.29074528,-67.34350812,0,1
DMAS.JK,2020Q2,Real Estate Investment and Services Development,0.348766821,0.43018856,6.9876E+12,1.53709E+12,30015547750,30.2487079,34.66254715,1,1
DSFI.JK,2020Q2,Food Producers,-2.093608652,-4.199021225,3.77347E+11,1.99336E+11,2104935380,-53.73190355,-44.29167486,0,1
DSSA.JK,2020Q2,Electricity,0.425528311,0.663534128,5.45666E+13,3.50721E+13,5.90748E+11,33.20168796,-25.86218288,1,1
DUTI.JK,2020Q2,Real Estate Investment and Services Development,0.321069245,0.300782273,1.3848E+13,5.12383E+12,86182447210,-70.612662,-13.66384755,1,1
DVLA.JK,2020Q2,Pharmaceuticals and Biotechnology,4.182345086,5.947249987,2.01054E+12,5.88499E+11,64695907000,24.35027337,-8.061161225,0,1
EKAD.JK,2020Q2,Chemicals,1.694572904,1.927592586,9.83509E+11,1.13727E+11,42013220090,-47.82368671,-24.68930468,0,1
EPMT.JK,2020Q2,Pharmaceuticals and Biotechnology,1.628602339,2.346797249,8.35367E+12,2.14979E+12,1.2655E+11,5.546894494,6.339942213,0,1
ERAA.JK,2020Q2,Retailers,0.147783565,0.217444463,9.06328E+12,4.13807E+12,60871501000,-64.02051073,-14.7349751,1,1
FAST.JK,2020Q2,Travel and Leisure,-4.408888187,-10.07247444,3.60316E+12,1.9368E+12,2854186000,-91.26223722,-34.36065277,1,1
FIRE.JK,2020Q2,Retailers,1.270275492,2.073410491,5.31145E+11,2.47108E+11,1146408980,5185.868374,-18.92448594,1,1
FMII.JK,2020Q2,Personal Goods,-0.610947953,-0.857152066,8.79063E+11,2.51697E+11,285319770,-24.72808608,-83.78859268,1,1
GGRM.JK,2020Q2,Tobacco,1.761928732,2.541772029,7.91589E+13,2.44074E+13,1.12148E+12,-43.82218934,-3.181518519,1,1
GMTD.JK,2020Q2,Real Estate Investment and Services Development,0.319292981,0.511590912,1.10286E+12,4.11483E+11,3530595240,182.5751177,-18.11496641,1,1
GPRA.JK,2020Q2,Real Estate Investment and Services Development,-0.571854334,-0.795405769,1.82018E+12,6.68361E+11,12212445150,0.349280031,-36.36893451,1,1
GWSA.JK,2020Q2,Real Estate Investment and Services Development,0.076588345,0.119078797,7.6285E+12,6.36987E+11,43835232020,37.3391464,-50.27525336,1,1
HEXA.JK,2020Q2,Industrial Engineering,3.024150732,4.304801934,3.58516E+12,9.45242E+11,1.21372E+11,15.09232154,-66.35039524,1,1
