Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,FCF,OI_GROWTH,REV_GROWTH,Treated,After,Balanced
AALI.JK,2019Q2,Food Producers,0.050227578,0.033592246,2.71618E+13,8.63566E+12,42451000000,54.21431361,1.434728364,0,1,TRUE
ABMM.JK,2019Q2,"Oil, Gas and Coal",-0.02156834,-0.075400823,1.16534E+13,7.87731E+12,1.22767E+11,-75.47868242,-25.09617499,0,1,TRUE
ACES.JK,2019Q2,Retailers,4.205699787,5.47606836,5.44998E+12,1.68411E+12,2.32085E+11,-0.410411307,-9.368820336,1,1,TRUE
ADMF.JK,2019Q2,Finance and Credit Services,1.455344315,7.180789784,3.368E+13,2.66964E+13,4.73457E+11,7.228970946,1.61223769,0,1,TRUE
ADRO.JK,2019Q2,"Oil, Gas and Coal",2.67227577,4.730159084,1.01098E+14,4.65865E+13,9.78329E+11,30.37475608,8.87061631,0,1,TRUE
ALDO.JK,2019Q2,Household Goods and Home Construction,1.590222368,3.112086379,9.33016E+11,5.3648E+11,21322212770,-5.826822855,-12.75699891,0,1,TRUE
ALKA.JK,2019Q2,Industrial Metals and Mining,1.228503812,4.555248146,4.08588E+11,3.91122E+11,3711971000,-139.6168273,-4.730313255,1,1,TRUE
AMRT.JK,2019Q2,"Personal Care, Drug and Grocery Stores",0.904854751,3.256828614,2.25252E+13,1.70787E+13,1.67797E+11,-37.23412335,16.30613858,0,1,TRUE
APIC.JK,2019Q2,Investment Banking and Brokerage Services,1.3862453,2.49949449,3.42402E+12,1.29183E+12,23031545290,38.30442813,-11.63275799,1,1,TRUE
ARNA.JK,2019Q2,Construction and Materials,2.898428075,4.467317703,1.63469E+12,5.72781E+11,74668934670,-19.33480442,-13.48623181,0,1,TRUE
ARTI.JK,2019Q2,Household Goods and Home Construction,-0.969145861,-0.679284102,3.54397E+12,9.59531E+11,11201644150,-86.98534038,-39.10824449,0,1,TRUE
ASGR.JK,2019Q2,Technology Hardware & Equipment,1.334122664,2.090834464,2.28645E+12,8.12289E+11,75324000000,44.18791946,13.30719033,0,1,TRUE
ASII.JK,2019Q2,Automobiles and Parts,1.593431759,3.262716987,3.50288E+14,2.10847E+14,6.263E+12,-15.41799248,-5.086650897,1,1,TRUE
ASSA.JK,2019Q2,Consumer Services,0.354673371,2.19008288,4.55212E+12,3.40651E+12,1.10673E+11,5.148270416,12.45420332,1,1,TRUE
BAYU.JK,2019Q2,Travel and Leisure,1.333613006,2.362936796,8.21811E+11,3.39246E+11,4102432990,-68.93014653,47.48495715,1,1,TRUE
BBLD.JK,2019Q2,Finance and Credit Services,0.318769344,1.377831336,5.155E+12,3.93862E+12,12545000000,6.107290474,3.312782282,0,1,TRUE
BCAP.JK,2019Q2,Investment Banking and Brokerage Services,0.071185273,0.242899327,1.83874E+13,1.34825E+13,21578000000,31.9490868,-1.544602102,1,1,TRUE
